title,thumbnail,link,viewcount,age
MATTER IN OUR SURROUNDINGS in 1 Shot | FULL Chapter Coverage (Concepts + PYQs) | Class-9th Science,https://i.ytimg.com/vi/vawU6R8MaO0/hqdefault.jpg,https://www.youtube.com/watch?v=vawU6R8MaO0,11K views,1 day ago
POLYNOMIALS in 1 Shot | FULL Chapter Coverage (Concepts + PYQs) | Class 9th Maths,https://i.ytimg.com/vi/roFOxpZtiV4/hqdefault.jpg,https://www.youtube.com/watch?v=roFOxpZtiV4,8.3K views,1 day ago
NAZISM AND THE RISE OF HITLER in 1 Shot || FULL Chapter Coverage (THEORY+PYQs) || Class 9th Sst,https://i.ytimg.com/vi/Kga4KUerm3o/hqdefault.jpg,https://www.youtube.com/watch?v=Kga4KUerm3o,11K views,2 days ago
NUMBER SYSTEM in 1 Shot || FULL Chapter Coverage (Concepts+PYQs) || Class 9th Maths,https://i.ytimg.com/vi/xn2HskGqSkI/hqdefault.jpg,https://www.youtube.com/watch?v=xn2HskGqSkI,13K views,3 days ago
SOUND OF MUSIC in 1 Shot || FULL Chapter Coverage (THEORY+PYQs) || Class 9th English,https://i.ytimg.com/vi/JoBEnYLkMDE/hqdefault.jpg,https://www.youtube.com/watch?v=JoBEnYLkMDE,7.2K views,3 days ago
PHYSICAL FEATURES OF INDIA in 1 Shot || FULL Chapter Coverage (THEORY+PYQs) || Class-9th SST,https://i.ytimg.com/vi/NcnFp3gh_u8/hqdefault.jpg,https://www.youtube.com/watch?v=NcnFp3gh_u8,11K views,4 days ago
MOTION in 1 Shot || FULL Chapter Coverage (Concepts+PYQs) || Class-9th Science,https://i.ytimg.com/vi/Msy44HhRGRw/hqdefault.jpg,https://www.youtube.com/watch?v=Msy44HhRGRw,29K views,5 days ago
THE FUN THEY HAD + THE ROAD N0T TAKEN in 1 Shot || FULL Chapter (THEORY+PYQs) || Class - 9th English,https://i.ytimg.com/vi/hyWXw83I0pc/hqdefault.jpg,https://www.youtube.com/watch?v=hyWXw83I0pc,13K views,5 days ago
CARBON AND ITS COMPOUND in 140 Minutes | Science Chapter - 4 | Class 10th CBSE Board,https://i.ytimg.com/vi/kv96sQulwZc/hqdefault.jpg,https://www.youtube.com/watch?v=kv96sQulwZc,141K views,2 weeks ago
PROBABILITY in 60 minutes | Maths Chapter - 15 | Class 10th Boards,https://i.ytimg.com/vi/dxD8krpKP-8/hqdefault.jpg,https://www.youtube.com/watch?v=dxD8krpKP-8,16K views,2 weeks ago
